"","SHIP_ID","ship_type","SHIPNAME","port","FLAG","position"
"236",206635,"Cargo","ARA ROTTERDAM","Klaipeda","GI","55.00592 19.83046 55.61112 20.80787 91605.9619637788"
"237",212317,"Cargo","MSC MANDRAKI","Klaipeda","GR","55.72787 20.85677 55.72766 20.88405 1714.17937377604"
"238",212572,"Tanker","EURONIKE","gothenborg","GR","57.62206 11.68268 57.63465 11.69145 1496.85971534782"
"239",213558,"Tanker","MINERVA GEORGIA","Gdańsk","GR","54.45885 18.99556 54.79312 18.9965 37209.8578654519"
"240",213558,"Tanker","MINERVA GEORGIA","Gdynia","GR","54.45885 18.99556 54.79312 18.9965 37209.8578654519"
"241",214595,"Tanker","MINERVA ALICE","Gdańsk","GR","54.38025 18.65993 54.38085 18.65798 143.228322885623"
"242",222305,"Cargo","SANDETTIE","Gdańsk","NL","54.40707 18.65818 54.75603 18.96664 43665.6686563914"
"243",222305,"Cargo","SANDETTIE","Gdynia","NL","54.40707 18.65818 54.75603 18.96664 43665.6686563914"
"244",222372,"Cargo","LURO","gothenborg","NL","57.8895 12.03617 57.87833 12.0275 1346.19630875567"
"245",222824,"Cargo","LECKO","gothenborg","NL","57.61483 11.67417 57.65167 11.72317 5040.00662592734"
"246",223660,"Tanker","THUN GALAXY","Gdańsk","NL","54.69195 18.99655 55.74546 20.80074 164127.712542965"
"247",223660,"Tanker","THUN GALAXY","Gdynia","NL","54.69195 18.99655 55.74546 20.80074 164127.712542965"
"248",223660,"Tanker","THUN GALAXY","Klaipeda","NL","54.69195 18.99655 55.74546 20.80074 164127.712542965"
"249",226006,"Cargo","FREYA","gothenborg","NL","57.67333 11.798 57.66083 11.77167 2099.36816129391"
"250",226912,"Cargo","HENDRIKA MARGARETHA","gothenborg","NL","57.92032 11.60437 54.79905 18.5848 553572.016141604"
"251",226912,"Cargo","HENDRIKA MARGARETHA","Gdynia","NL","57.92032 11.60437 54.79905 18.5848 553572.016141604"
"252",226912,"Cargo","HENDRIKA MARGARETHA","Gdańsk","NL","57.92032 11.60437 54.79905 18.5848 553572.016141604"
"253",231568,"Cargo","ENFORCER","Gdańsk","NL","54.53519 18.59532 54.53548 18.55798 2417.29142628425"
"254",231568,"Cargo","ENFORCER","Gdynia","NL","54.53519 18.59532 54.53548 18.55798 2417.29142628425"
"255",245589,"Cargo","ANJELIERSGRACHT","gothenborg","NL","57.94062 11.68803 57.93012 11.67011 1579.41471431348"
"256",246960,"Cargo","NJORD","St. Petersburg","NL","59.90236 30.09618 59.90729 30.07167 1477.47232677254"
"257",251928,"Tanker","CORAL STICHO","gothenborg","NL","57.93739 11.68278 57.92943 11.66798 1246.89385879567"
"258",253976,"Cargo","FOREST","Kalingrad","NL","54.6327 19.90475 54.64883 19.86498 3133.24573496635"
"259",254047,"Cargo","ESL AFRICA","Klaipeda","CY","55.84693 20.80334 55.83699 20.81754 1419.92061106845"
"260",254064,"Cargo","EMOTION","Gdańsk","NL","54.79411 18.97551 55.73155 20.80289 156159.093984171"
"261",254064,"Cargo","EMOTION","Gdynia","NL","54.79411 18.97551 55.73155 20.80289 156159.093984171"
"262",254064,"Cargo","EMOTION","Klaipeda","NL","54.79411 18.97551 55.73155 20.80289 156159.093984171"
"263",254318,"Cargo","TRICA","St. Petersburg","NL","59.88806 30.2011 59.89521 30.1315 3976.96828160193"
"264",257347,"Cargo","CAROLINA","gothenborg","NL","57.89535 12.03937 57.94847 12.08942 6618.16307677676"
"265",257862,"Cargo","SAFFIER","Klaipeda","NL","55.73774 20.87151 55.73665 20.8532 1156.53652410211"
"266",257926,"Tanker","AIGRAN D","Klaipeda","NL","55.75078 20.81078 54.66877 19.8058 136389.357694363"
"267",257926,"Tanker","AIGRAN D","Kalingrad","NL","55.75078 20.81078 54.66877 19.8058 136389.357694363"
"268",258225,"Cargo","PRISCILLA","gothenborg","NL","57.60335 11.61722 57.60552 11.60822 589.835717333279"
"269",258858,"Cargo","DINTELBORG","Kalingrad","NL","54.68567 20.22827 54.68526 20.17245 3600.33086634154"
"270",259111,"Tanker","WISBY VERITY","gothenborg","MT","57.94907 11.69939 57.9367 11.68279 1692.55919232811"
"271",259202,"Cargo","TINA","Gdańsk","NL","54.55447 18.84484 54.56521 18.86041 1563.28859491665"
"272",259202,"Cargo","TINA","Gdynia","NL","54.55447 18.84484 54.56521 18.86041 1563.28859491665"
"273",259232,"Cargo","SKAGENBANK","gothenborg","NL","57.61919 11.68127 57.63065 11.69334 1465.97217656208"
"274",260019,"Tanker","STAR CURACAO","Kalingrad","NL","54.65587 19.84729 54.63261 19.90474 4523.29665982561"
"275",260071,"Cargo","DONGEBORG","Gdańsk","NL","54.74545 18.9621 54.73329 18.95905 1367.81586666126"
"276",260071,"Cargo","DONGEBORG","Gdynia","NL","54.74545 18.9621 54.73329 18.95905 1367.81586666126"
"277",260333,"Cargo","SOMERSET","gothenborg","MT","57.67833 11.72617 57.669 11.69333 2218.01628367071"
"278",262498,"Cargo","SLINGEBORG","gothenborg","NL","57.62883 11.67933 57.61417 11.6575 2089.81505001227"
"279",262503,"Tug","TIDEWAY ROLLINGSTONE","Kalingrad","NL","55.00588 19.81804 54.66067 19.80943 38432.9169208368"
"280",262525,"Cargo","SCHIEBORG","gothenborg","NL","57.61017 11.63217 57.6165 11.66683 2188.25986417566"
"281",263477,"Cargo","PLYCA","St. Petersburg","NL","59.91821 30.018 59.92117 30.0038 860.018958706458"
"282",263501,"Tanker","THUN GLORY","gothenborg","NL","57.63115 11.69187 57.64325 11.70208 1479.15842177112"
"283",263649,"Cargo","DIJKSGRACHT","Klaipeda","NL","55.72404 21.02729 55.72994 21.00316 1652.32008758987"
"284",263683,"Tanker","CORAL MEANDRA","gothenborg","LR","57.92804 11.66216 57.93575 11.68014 1368.24524146367"
"285",264274,"Cargo","LINGEDIJK","Gdańsk","NL","54.40303 18.67678 54.50918 18.78108 13615.2639326477"
"286",264274,"Cargo","LINGEDIJK","Gdynia","NL","54.40303 18.67678 54.50918 18.78108 13615.2639326477"
"287",265269,"Cargo","VICTORIABORG","Klaipeda","NL","55.66924 21.14524 55.71801 21.10651 5951.08341842994"
"288",265353,"Cargo","FAST HERMAN","St. Petersburg","BE","59.89684 30.21549 59.91337 30.22852 1980.7134465319"
"289",265510,"Cargo","THEA MARIEKE","Gdynia","NL","54.53445 18.79455 54.52118 18.77537 1929.7617597818"
"290",265510,"Cargo","THEA MARIEKE","Gdańsk","NL","54.53445 18.79455 54.52118 18.77537 1929.7617597818"
"291",265873,"Cargo","STEENBANK","Kalingrad","NL","54.63259 19.90238 54.6338 19.936 2175.23942724118"
"292",266600,"Cargo","PITZTAL","St. Petersburg","NL","59.902 30.09755 59.90575 30.07908 1114.85743480875"
"293",268459,"Cargo","ALANA EVITA","Kalingrad","NL","54.66463 19.82511 54.5491 18.98915 55527.7113923902"
"294",268459,"Cargo","ALANA EVITA","Gdańsk","NL","54.66463 19.82511 54.5491 18.98915 55527.7113923902"
"295",268459,"Cargo","ALANA EVITA","Gdynia","NL","54.66463 19.82511 54.5491 18.98915 55527.7113923902"
"296",268899,"Cargo","TERSCHELLING","St. Petersburg","NL","59.91047 30.05565 59.90586 30.07837 1371.11696080027"
"297",269768,"Tug","SEA GOLF","Kalingrad","NL","54.97065 20.27675 54.9776 20.3772 6478.70949352114"
"298",270056,"Cargo","AMELAND","Kalingrad","NL","54.633 19.89367 54.64067 20.02383 8447.79485518537"
"299",270219,"Cargo","OOCL RAUMA","St. Petersburg","NL","59.91561 30.03031 59.91059 30.05536 1508.93025299701"
"300",270507,"Cargo","ADAMAS","Klaipeda","NL","55.72534 20.85354 55.71969 20.8096 2831.89866921911"
"301",270798,"Cargo","JADE","Klaipeda","NL","55.68204 20.84196 55.69443 20.88115 2824.57658673331"
"302",271828,"Cargo","ZEALAND BEATRIX","Klaipeda","NL","55.65665 20.86282 55.69824 20.86267 4630.47188554282"
"303",272139,"Tanker","PRINS MAURITS","Gdańsk","NL","54.46178 18.87786 54.45961 18.87485 310.561741219529"
"304",273075,"Tug","NERO","Kalingrad","NL","54.98031 20.40794 54.98509 20.30384 6685.86368742178"
"305",278706,"Cargo","GRANDE EUROPA","gothenborg","IT","57.9532 11.70476 57.93951 11.68789 1822.90430504335"
"306",279287,"Tanker","INDIAN POINT","gothenborg","MT","57.65815 11.76211 57.66346 11.77994 1217.55822228827"
"307",279934,"Tanker","PROCIDA","gothenborg","IT","57.652 11.71765 57.64052 11.69327 1937.56764776501"
"308",280027,"Passenger","SCOTTISH VIKING","Gdańsk","IT","54.765 18.94562 54.78376 18.93119 2285.50375674588"
"309",280027,"Passenger","SCOTTISH VIKING","Gdynia","IT","54.765 18.94562 54.78376 18.93119 2285.50375674588"
"310",281227,"Cargo","GRANDE MEDITERRANEO","gothenborg","IT","57.93787 11.68484 57.92467 11.6568 2218.37454344308"
"311",283730,"Cargo","BOGDAN","Gdańsk","MT","54.38472 18.66143 54.78593 18.98923 49434.208177069"
"312",283815,"Cargo","ZAMOSKVORECHYE","Kalingrad","MT","54.68554 20.17347 54.68573 20.22603 3389.84374739222"
"313",283840,"Tanker","AMUR STAR","gothenborg","MT","57.67306 11.79004 57.67588 11.80105 728.16430916777"
"314",284471,"Cargo","FALKBRIS","Kalingrad","MT","54.6695 19.82589 54.63331 19.89368 5947.77381715314"
"315",284483,"Tug","OPAL","Gdynia","MT","54.53518 18.55029 54.53458 18.55618 387.078671587336"
"316",284882,"Cargo","ATLANTIC RUNNER","St. Petersburg","MT","59.90295 30.22353 59.90658 30.22843 488.615142011688"
"317",285833,"Cargo","STRANDJA","Klaipeda","MT","55.72063 20.89128 55.72252 20.90764 1049.38609156104"
"318",285899,"Tanker","UMAR1","gothenborg","MT","57.60098 11.6855 54.65694 19.80968 601628.115559243"
"319",285899,"Tanker","UMAR1","Kalingrad","MT","57.60098 11.6855 54.65694 19.80968 601628.115559243"
"320",286668,"Tanker","TRANS FJELL","gothenborg","MT","57.95829 11.71159 57.96871 11.72754 1496.07871527873"
"321",287761,"Cargo","WILSON BILBAO","Gdańsk","MT","54.67572 18.93328 54.65024 18.92236 2922.58686575832"
"322",287761,"Cargo","WILSON BILBAO","Gdynia","MT","54.67572 18.93328 54.65024 18.92236 2922.58686575832"
"323",288123,"Tanker","PATRICIA","gothenborg","MT","57.67567 11.80362 57.68377 11.85105 2969.98960899061"
"324",288159,"Tanker","PATANI","gothenborg","MT","57.97335 11.72842 57.9618 11.71457 1525.38396491299"
"325",288246,"Tanker","BESIKTAS HALLAND","St. Petersburg","MT","59.91314 30.04284 59.91771 30.02034 1357.77941802089"
"326",288897,"Cargo","KAPITAN MIRONOV","St. Petersburg","RU","59.91975 30.01034 59.91663 30.02603 943.990968163342"
"327",289583,"Cargo","KAPITAN YAKOVLEV","St. Petersburg","RU","59.9024 30.09604 59.90648 30.07582 1219.41665275559"
"328",290089,"Cargo","UFA","Kalingrad","MT","54.64828 20.07527 54.69624 20.43857 24038.5074384837"
"329",290098,"Tanker","VENERE","gothenborg","MT","57.60433 11.608 57.60266 11.621 799.150147439642"
"330",291621,"Cargo","NACC TORONTO","Kalingrad","MT","54.63306 19.89324 54.64939 19.86546 2553.69546790651"
"331",297208,"Tug","MARIEKE","Klaipeda","LU","55.72043 20.80652 54.63621 19.92242 133195.521038944"
"332",297208,"Tug","MARIEKE","Kalingrad","LU","55.72043 20.80652 54.63621 19.92242 133195.521038944"
"333",297592,"Tug","JAMES COOK","Gdańsk","LU","54.37533 18.6615 54.37517 18.6615 17.8099169152559"
"334",299445,"Tug","FROG RANA","gothenborg","PT","57.71275 11.95854 57.66158 11.83507 9312.16106167576"
"335",299816,"Tanker","LUKE","Gdańsk","PT","54.79767 18.91228 57.60288 11.67853 546501.458415394"
"336",299816,"Tanker","LUKE","Gdynia","PT","54.79767 18.91228 57.60288 11.67853 546501.458415394"
"337",299816,"Tanker","LUKE","gothenborg","PT","54.79767 18.91228 57.60288 11.67853 546501.458415394"
"338",300093,"Cargo","VIONA","gothenborg","PT","57.60448 11.66448 57.60928 11.66926 606.156659738545"
"339",300096,"Cargo","AKACIA","Gdańsk","PT","54.46332 18.9992 54.66873 19.80998 57211.0961237208"
"340",300096,"Cargo","AKACIA","Gdynia","PT","54.46332 18.9992 54.66873 19.80998 57211.0961237208"
"341",300096,"Cargo","AKACIA","Kalingrad","PT","54.46332 18.9992 54.66873 19.80998 57211.0961237208"
"342",300118,"Cargo","IRIS BOLTEN","Klaipeda","PT","55.62799 20.80453 54.69598 18.99102 155315.310783873"
"343",300118,"Cargo","IRIS BOLTEN","Gdańsk","PT","55.62799 20.80453 54.69598 18.99102 155315.310783873"
"344",300118,"Cargo","IRIS BOLTEN","Gdynia","PT","55.62799 20.80453 54.69598 18.99102 155315.310783873"
"345",300161,"Cargo","ANNAMARIE","gothenborg","PT","57.61783 11.6745 57.63334 11.69167 2009.03779982414"
"346",300168,"Cargo","EMILIA","Kalingrad","PT","54.68553 20.174 54.68555 20.23076 3660.65962846294"
"347",300784,"Cargo","KAIE","St. Petersburg","MT","59.92081 30.00438 59.91813 30.01789 812.537516116419"
"348",300801,"Cargo","FREDERIK","Gdańsk","MT","55.19833 19.88672 55.7121 20.80083 81340.2006237485"
"349",300801,"Cargo","FREDERIK","Gdynia","MT","55.19833 19.88672 55.7121 20.80083 81340.2006237485"
"350",300801,"Cargo","FREDERIK","Kalingrad","MT","55.19833 19.88672 55.7121 20.80083 81340.2006237485"
"351",300801,"Cargo","FREDERIK","Klaipeda","MT","55.19833 19.88672 55.7121 20.80083 81340.2006237485"
"352",301169,"Cargo","BALTIYSKIY-202","Gdańsk","BZ","54.46891 18.71478 54.50566 18.77121 5487.1560952108"
"353",301169,"Cargo","BALTIYSKIY-202","Gdynia","BZ","54.46891 18.71478 54.50566 18.77121 5487.1560952108"
"354",301374,"Tanker","MARY A","Gdańsk","IT","54.4532 18.68288 54.46228 18.70129 1564.32918702028"
"355",301374,"Tanker","MARY A","Gdynia","IT","54.4532 18.68288 54.46228 18.70129 1564.32918702028"
"356",301875,"Tanker","BALTIC FROST","St. Petersburg","MT","59.90125 30.10108 59.90569 30.07941 1309.71360014218"
"357",302841,"Tanker","B GAS CHAMPION","gothenborg","MT","57.63475 11.69837 57.6461 11.70762 1379.51456364513"
"358",304547,"Tanker","SOLSTRAUM","gothenborg","NO","57.60824 11.60952 54.73861 18.998 558713.64954877"
"359",304547,"Tanker","SOLSTRAUM","Gdańsk","NO","57.60824 11.60952 54.73861 18.998 558713.64954877"
"360",304547,"Tanker","SOLSTRAUM","Gdynia","NO","57.60824 11.60952 54.73861 18.998 558713.64954877"
"361",304819,"Tug","RESCUE BERGESEN D.Y","gothenborg","NO","57.94052 11.69243 57.95715 11.71138 2165.61378614215"
"362",305383,"Tanker","NORTHERN KATTEGAT","gothenborg","SE","57.68316 11.87161 57.60485 11.68306 14242.5530428099"
"363",306293,"Tanker","CLIPPER HARALD","gothenborg","NO","57.96892 11.72741 57.97871 11.74401 1467.6139747126"
"364",306484,"Cargo","KEGUMS","St. Petersburg","NO","59.91596 30.02845 59.91918 30.01302 934.718447662819"
"365",306746,"Tanker","EK-STAR","gothenborg","NO","57.66336 11.77758 57.67365 11.79809 1676.7630846786"
"366",307368,"Tug","RESCUE B. RASMUSSEN","gothenborg","NO","57.98885 11.73763 57.97419 11.69244 3132.74549435214"
"367",307788,"Cargo","STAR ISFJORD","Gdańsk","NO","54.75713 18.99659 54.69692 18.99504 6703.23046071418"
"368",307788,"Cargo","STAR ISFJORD","Gdynia","NO","54.75713 18.99659 54.69692 18.99504 6703.23046071418"
"369",308314,"Cargo","HOEGH TRIDENT","gothenborg","NO","57.66784 11.78583 57.65933 11.76417 1603.0052630032"
"370",309724,"Tanker","XANTHIA","Klaipeda","NO","55.73485 20.96872 55.73166 21.00007 2001.23249713368"
"371",310529,"Fishing","POLAR","gothenborg","SE","57.71579 11.95836 57.71556 11.95796 34.9932264077336"
"372",310855,"Fishing","VASTFJORD II","gothenborg","SE","57.67399 11.66501 57.67385 11.66483 18.9333246273625"
"373",312793,"Cargo","DANUBIA","gothenborg","NO","57.65377 11.72674 57.61215 11.66631 5875.11693709004"
"374",312941,"Tanker","EKEN","St. Petersburg","NO","59.91273 30.04425 59.90863 30.06415 1203.46908140413"
"375",313641,"Tug","BESS","gothenborg","NO","57.92759 11.6645 57.91573 11.63872 2019.63533659727"
"376",314533,"Tanker","EKFORS","St. Petersburg","NO","59.885 30.17967 59.8805 30.1895 744.545148840705"
"377",315660,"Tug","MAJA","Gdańsk","PL","54.36606 18.64834 54.40533 18.66537 4509.07746735389"
"378",315660,"Tug","MAJA","Gdynia","PL","54.36606 18.64834 54.40533 18.66537 4509.07746735389"
"379",315661,"Tug","TYTAN","Gdańsk","PL","54.40533 18.66829 54.42708 18.65045 2683.81328387564"
"380",315661,"Tug","TYTAN","Gdynia","PL","54.40533 18.66829 54.42708 18.65045 2683.81328387564"
"381",315663,"Tug","OCEANIA","Gdańsk","PL","54.395 18.67381 54.39485 18.67397 19.6669840475977"
"382",315672,"Tug","ARES","Gdańsk","PL","54.40098 18.7215 54.39855 18.70049 1391.0644002387"
"383",315672,"Tug","ARES","Gdynia","PL","54.40098 18.7215 54.39855 18.70049 1391.0644002387"
"384",315676,"Tug","AGIS","Gdańsk","PL","54.40693 18.66183 54.40404 18.67805 1101.3065736989"
"385",315676,"Tug","AGIS","Gdynia","PL","54.40693 18.66183 54.40404 18.67805 1101.3065736989"
"386",315677,"Tug","ARGO","Gdańsk","PL","54.39029 18.6687 54.39014 18.66879 17.6908404688013"
"387",315679,"Tug","AJAKS","Gdańsk","PL","54.39446 18.67523 54.3878 18.66668 926.314280261108"
"388",315679,"Tug","AJAKS","Gdynia","PL","54.39446 18.67523 54.3878 18.66668 926.314280261108"
"389",315687,"Tanker","HALICZ","Gdańsk","PL","54.79863 18.53098 54.79967 18.46382 4320.83907268734"
"390",315687,"Tanker","HALICZ","Gdynia","PL","54.79863 18.53098 54.79967 18.46382 4320.83907268734"
"391",315695,"Passenger","RUBIN","Gdańsk","PL","54.35761 18.70439 54.3575 18.70433 12.8506150278923"
"392",315703,"Tug","PILOT-3","Gdynia","PL","54.52387 18.54965 54.52378 18.54962 10.2049074992844"
"393",315705,"Tug","PILOT-5","Gdynia","PL","54.53472 18.5624 54.53499 18.60472 2739.63595782732"
"394",315705,"Tug","PILOT-5","Gdańsk","PL","54.53472 18.5624 54.53499 18.60472 2739.63595782732"
"395",315719,"Tug","TUCANA","Gdynia","PL","54.52044 18.5503 54.40438 18.67282 15166.5920380372"
"396",315719,"Tug","TUCANA","Gdańsk","PL","54.52044 18.5503 54.40438 18.67282 15166.5920380372"
"397",315726,"Tug","ODISSEY","Kalingrad","RU","54.83105 19.80945 54.68392 19.80845 16378.4993888098"
"398",315728,"Tanker","PORONIEC","Gdańsk","PL","54.79846 18.62115 54.73298 18.99408 25086.475890585"
"399",315728,"Tanker","PORONIEC","Gdynia","PL","54.79846 18.62115 54.73298 18.99408 25086.475890585"
"400",315731,"Tug","ODYS","Gdynia","PL","54.52943 18.52593 54.52919 18.526 27.0972154552791"
"401",315731,"Tug","BBAS","Gdynia","PL","54.52943 18.52593 54.52919 18.526 27.0972154552791"
"402",315739,"Tug","IKAR","Gdynia","PL","54.37982 18.66038 54.36386 18.66486 1800.2386784706"
"403",315739,"Tug","IKAR","Gdańsk","PL","54.37982 18.66038 54.36386 18.66486 1800.2386784706"
"404",315746,"Fishing","WLA 108","Gdańsk","PL","54.75691 18.70708 54.74677 18.71972 1391.58769450032"
"405",315746,"Fishing","WLA 108","Gdynia","PL","54.75691 18.70708 54.74677 18.71972 1391.58769450032"
"406",315753,"Fishing","LEB-7","Gdańsk","PL","54.74087 18.6593 54.75195 18.63059 2222.50301627313"
"407",315753,"Fishing","LEB-7","Gdynia","PL","54.74087 18.6593 54.75195 18.63059 2222.50301627313"
"408",315755,"Tug","INZ. ST. LEGOWSKI","Gdynia","PL","54.77827 18.53787 54.35652 18.67622 47792.5352972037"
"409",315755,"Tug","INZ. ST. LEGOWSKI","Gdańsk","PL","54.77827 18.53787 54.35652 18.67622 47792.5352972037"
"410",315775,"Passenger","AGAT","Gdynia","PL","54.5514 18.99818 54.6465 19.83599 55173.1186474429"
"411",315775,"Passenger","AGAT","Gdańsk","PL","54.5514 18.99818 54.6465 19.83599 55173.1186474429"
"412",315775,"Passenger","AGAT","Kalingrad","PL","54.5514 18.99818 54.6465 19.83599 55173.1186474429"
"413",315804,"Fishing","HEL-111","Gdańsk","PL","54.79856 18.73015 54.79767 18.85563 8070.8586795839"
"414",315804,"Fishing","HEL-111","Gdynia","PL","54.79856 18.73015 54.79767 18.85563 8070.8586795839"
"415",315805,"Fishing","HEL 112","Gdańsk","PL","54.79729 18.80079 54.79933 18.65145 9607.44479677025"
"416",315805,"Fishing","HEL 112","Gdynia","PL","54.79729 18.80079 54.79933 18.65145 9607.44479677025"
"417",315812,"Tug","SM PRC 112","Gdańsk","PL","54.4085 18.74618 54.419 18.76442 1663.85321426049"
"418",315812,"Tug","SM PRC 112","Gdynia","PL","54.4085 18.74618 54.419 18.76442 1663.85321426049"
"419",315816,"Tug","SM PRC 105","Gdańsk","PL","54.38186 18.66007 54.3717 18.66387 1157.57429903195"
"420",315816,"Tug","SM PRC 105","Gdynia","PL","54.38186 18.66007 54.3717 18.66387 1157.57429903195"
"421",315820,"Tug","SM PRC 108","Gdańsk","PL","54.45215 18.81922 54.4463 18.80798 977.571281132916"
"422",315820,"Tug","SM PRC 108","Gdynia","PL","54.45215 18.81922 54.4463 18.80798 977.571281132916"
"423",315824,"Tug","SMPRC110","Gdańsk","PL","54.40457 18.66957 54.39933 18.67995 891.418306509263"
"424",315824,"Tug","SMPRC110","Gdynia","PL","54.40457 18.66957 54.39933 18.67995 891.418306509263"
"425",315864,"Tug","KOL-48","Gdynia","PL","54.79836 18.43598 54.79544 18.42675 676.81246731822"
"426",315869,"Tug","TAURUS","Gdańsk","PL","54.4236 18.65058 54.40378 18.67478 2708.49282227366"
"427",315869,"Tug","TAURUS","Gdynia","PL","54.4236 18.65058 54.40378 18.67478 2708.49282227366"
"428",315877,"Fishing","KAPER-2 SG-312","Gdynia","PL","54.54259 18.65607 54.54381 18.6805 1586.90919522291"
"429",315877,"Fishing","KAPER-2 SG-312","Gdańsk","PL","54.54259 18.65607 54.54381 18.6805 1586.90919522291"
"430",315887,"Fishing","WLA-307","Gdynia","PL","54.79653 18.41913 54.79652 18.4319 821.336090869659"
"431",315889,"Fishing","WLA-209 BLANKA","Gdynia","PL","54.79887 18.43543 54.79605 18.42918 510.030615984458"
"432",315892,"Tug","WIATR","Gdańsk","PL","54.39991 18.84552 54.36809 18.78008 5533.73962620445"
"433",315901,"Fishing","HEL-150","Gdańsk","PL","54.43809 18.99997 54.54118 18.98796 11501.7335277758"
"434",315901,"Fishing","HEL-150","Gdynia","PL","54.43809 18.99997 54.54118 18.98796 11501.7335277758"
"435",315903,"Fishing","HEL 23","Gdańsk","PL","54.79855 18.87031 54.79923 18.95095 5186.81798908322"
"436",315903,"Fishing","HEL 23","Gdynia","PL","54.79855 18.87031 54.79923 18.95095 5186.81798908322"
"437",315907,"Fishing","WLA 253","Gdańsk","PL","54.69599 18.72768 54.70285 18.71236 1248.48314313738"
"438",315907,"Fishing","WLA 253","Gdynia","PL","54.69599 18.72768 54.70285 18.71236 1248.48314313738"
"439",315909,"Fishing","WLA-13O","Gdynia","PL","54.79633 18.41696 54.79861 18.46391 3030.28721236646"
"440",315912,"Fishing","WLA 116","Gdynia","PL","54.79826 18.43361 54.79989 18.4425 599.849500790789"
"441",315924,"Fishing","WLA-254","Gdynia","PL","54.79649 18.42639 54.79999 18.44629 1337.85600331776"
"442",315927,"Fishing","JAS 102","Gdańsk","PL","54.56517 18.99999 54.58678 18.99541 2423.69671417138"
"443",315927,"Fishing","JAS 102","Gdynia","PL","54.56517 18.99999 54.58678 18.99541 2423.69671417138"
"444",315929,"Fishing","JAS-74","Gdańsk","PL","54.69625 18.67479 54.48427 18.93163 28852.638378617"
"445",315929,"Fishing","JAS-74","Gdynia","PL","54.69625 18.67479 54.48427 18.93163 28852.638378617"
"446",315930,"Fishing","JAS 78","Gdańsk","PL","54.4543 18.99326 54.56546 18.99991 12381.2119079116"
"447",315930,"Fishing","JAS 78","Gdynia","PL","54.4543 18.99326 54.56546 18.99991 12381.2119079116"
"448",315932,"Tug","NEPTUN W","Gdynia","PL","54.79548 18.41867 54.79816 18.42727 628.454066629697"
"449",315941,"Fishing","WLA-295","Gdynia","PL","54.79669 18.43465 54.79936 18.4416 536.789140951009"
"450",315946,"Fishing","WLA-305","Gdynia","PL","54.79918 18.44281 54.79984 18.71746 17663.6598811606"
"451",315946,"Fishing","WLA-305","Gdańsk","PL","54.79918 18.44281 54.79984 18.71746 17663.6598811606"
"452",315948,"Fishing","WLA310","Gdynia","PL","54.79611 18.42464 54.79883 18.43298 615.956458793108"
"453",315950,"Fishing",".WLA-311","Gdynia","PL","54.79657 18.43504 54.79646 18.41907 1027.2247928412"
"454",315950,"Fishing","WLA-311","Gdynia","PL","54.79657 18.43504 54.79646 18.41907 1027.2247928412"
"455",315951,"Fishing","WLA-312","Gdynia","PL","54.79628 18.42995 54.79964 18.44099 802.533343881056"
"456",315959,"Fishing","GDA-20","Gdańsk","PL","54.67441 18.99993 54.41359 18.99597 29034.3376155182"
"457",315959,"Fishing","GDA-20","Gdynia","PL","54.67441 18.99993 54.41359 18.99597 29034.3376155182"
"458",315960,"Fishing","GDA-18","Gdańsk","PL","54.79884 18.76773 54.79977 18.83827 4537.8308023443"
"459",315960,"Fishing","GDA-18","Gdynia","PL","54.79884 18.76773 54.79977 18.83827 4537.8308023443"
"460",315968,"Fishing","JAS-64","Gdynia","PL","54.51767 18.99464 54.64897 18.9963 14616.163416586"
"461",315968,"Fishing","JAS-64","Gdańsk","PL","54.51767 18.99464 54.64897 18.9963 14616.163416586"
"462",315971,"Fishing","WLA-291","Gdańsk","PL","54.79381 18.75323 54.57128 18.99571 29295.4265371313"
"463",315971,"Fishing","WLA-291","Gdynia","PL","54.79381 18.75323 54.57128 18.99571 29295.4265371313"
"464",315979,"Fishing","JAS-80","Gdańsk","PL","54.69943 18.99941 54.64479 18.99526 6088.27689577962"
"465",315979,"Fishing","JAS-80","Gdynia","PL","54.69943 18.99941 54.64479 18.99526 6088.27689577962"
"466",315983,"Fishing","WLA-184 HELOT","Gdynia","PL","54.52193 18.5509 54.52152 18.54946 103.81447477959"
"467",315986,"Fishing","JAS 77","Gdańsk","PL","54.69597 18.67434 54.58949 18.81434 14906.0563585066"
"468",315986,"Fishing","JAS 77","Gdynia","PL","54.69597 18.67434 54.58949 18.81434 14906.0563585066"
"469",315998,"Fishing","JAS 31","Gdańsk","PL","54.79669 18.92915 54.79908 18.98393 3533.22925061702"
"470",315998,"Fishing","JAS 31","Gdynia","PL","54.79669 18.92915 54.79908 18.98393 3533.22925061702"
"471",316004,"Fishing","HEL-152","Gdańsk","PL","54.79922 18.70689 54.79939 18.81003 6633.28510646925"
"472",316004,"Fishing","HEL-152","Gdynia","PL","54.79922 18.70689 54.79939 18.81003 6633.28510646925"
"473",316006,"Fishing","WLA-22","Gdynia","PL","54.79597 18.43716 54.79729 18.44796 709.999959582014"
"474",316016,"Fishing","WLA 51","Gdańsk","PL","54.78111 18.49622 54.7866 18.47771 1338.55049674086"
"475",316016,"Fishing","WLA 51","Gdynia","PL","54.78111 18.49622 54.7866 18.47771 1338.55049674086"
"476",316038,"Fishing","WLA-217","Gdańsk","PL","54.79586 18.89992 54.79933 18.45274 28763.3153687303"
